iter	Passed	Remaining
1339	13281	11497
1340	13290	11487
1341	13298	11475
1342	13309	11465
1343	13316	11453
1344	13327	11444
1345	13334	11432
1346	13358	11434
1347	13366	11422
1348	13377	11413
1349	13385	11402
1350	13461	11448
1351	13474	11440
1352	13489	11435
1353	13500	11426
1354	13509	11416
1355	13523	11408
1356	13533	11399
1357	13540	11386
1358	13547	11373
1359	13554	11361
1360	13560	11348
1361	13568	11336
1362	13574	11323
1363	13581	11311
1364	13588	11298
1365	13595	11286
1366	13602	11273
1367	13608	11261
1368	13617	11250
1369	13624	11237
1370	13630	11224
1371	13637	11211
1372	13643	11199
1373	13651	11187
1374	13657	11174
1375	13665	11163
1376	13671	11150
1377	13678	11137
1378	13684	11124
1379	13691	11111
1380	13699	11100
1381	13710	11091
1382	13717	11079
1383	13724	11066
1384	13730	11054
1385	13739	11043
1386	13745	11030
1387	13752	11017
1388	13758	11004
1389	13764	10992
1390	13771	10979
1391	13777	10966
1392	13784	10953
1393	13790	10941
1394	13796	10928
1395	13802	10915
1396	13808	10902
1397	13815	10890
1398	13821	10877
1399	13828	10864
1400	13834	10852
1401	13840	10839
1402	13846	10826
1403	13853	10814
1404	13859	10801
1405	13865	10789
1406	13872	10776
1407	13878	10763
1408	13885	10751
1409	13891	10739
1410	13898	10726
1411	13904	10713
1412	13910	10701
1413	13917	10688
1414	13923	10676
1415	13931	10665
1416	13944	10657
1417	13956	10649
1418	13976	10647
1419	13989	10640
1420	14001	10631
1421	14012	10622
1422	14018	10609
1423	14026	10598
1424	14032	10586
1425	14040	10574
1426	14046	10561
1427	14052	10549
1428	14059	10536
1429	14065	10524
1430	14071	10511
1431	14077	10499
1432	14084	10487
1433	14090	10474
1434	14097	10462
1435	14103	10450
1436	14112	10439
1437	14119	10427
1438	14125	10415
1439	14132	10402
1440	14138	10390
1441	14145	10378
1442	14151	10365
1443	14158	10353
1444	14164	10341
1445	14170	10329
1446	14177	10316
1447	14183	10304
1448	14189	10292
1449	14196	10280
1450	14202	10267
1451	14211	10257
1452	14218	10245
1453	14225	10233
1454	14231	10221
1455	14237	10208
1456	14244	10196
1457	14250	10184
1458	14256	10172
1459	14263	10160
1460	14269	10147
1461	14275	10135
1462	14282	10123
1463	14288	10111
1464	14296	10100
1465	14303	10088
1466	14309	10076
1467	14315	10063
1468	14322	10051
1469	14328	10039
1470	14334	10027
1471	14342	10016
1472	14349	10004
1473	14356	9992
1474	14362	9980
1475	14368	9968
1476	14375	9956
1477	14381	9944
1478	14388	9932
1479	14395	9921
1480	14402	9909
1481	14409	9897
1482	14418	9887
1483	14425	9876
1484	14525	9928
1485	14593	9958
1486	14625	9963
1487	14651	9964
1488	14667	9958
1489	14691	9958
1490	14720	9961
1491	14736	9956
1492	14748	9947
1493	14757	9937
1494	14765	9926
1495	14772	9914
1496	14779	9902
1497	14786	9890
1498	14793	9878
1499	14799	9866
1500	14806	9854
1501	14812	9842
1502	14819	9830
1503	14825	9818
1504	14832	9806
1505	14841	9795
1506	14848	9783
1507	14855	9772
1508	14862	9760
1509	14869	9748
1510	14876	9737
1511	14882	9725
1512	14889	9712
1513	14895	9700
1514	14902	9688
1515	14909	9677
1516	14915	9665
1517	14922	9653
1518	14929	9641
1519	14935	9629
1520	14942	9617
1521	14949	9605
1522	14955	9594
1523	14962	9582
1524	14969	9570
1525	14975	9558
1526	14981	9546
1527	14988	9534
1528	14994	9522
1529	15001	9510
1530	15008	9498
1531	15014	9487
1532	15021	9475
1533	15027	9463
1534	15033	9451
1535	15040	9439
1536	15046	9427
1537	15053	9415
1538	15060	9403
1539	15066	9392
1540	15072	9380
1541	15079	9368
1542	15089	9359
1543	15113	9357
1544	15125	9349
1545	15137	9341
1546	15149	9332
1547	15189	9341
1548	15235	9353
1549	15258	9352
1550	15304	9364
1551	15329	9363
1552	15359	9365
1553	15403	9376
1554	15427	9375
1555	15475	9388
1556	15692	9504
1557	15717	9502
1558	15787	9529
1559	15804	9523
1560	15816	9514
1561	15823	9502
1562	15829	9489
1563	15836	9477
1564	15842	9464
1565	15848	9452
1566	15855	9440
1567	15862	9428
1568	15868	9415
1569	15875	9403
1570	15881	9391
1571	15888	9379
1572	15894	9367
1573	15901	9354
1574	15907	9342
1575	15914	9330
1576	15920	9317
1577	15926	9305
1578	15933	9293
1579	15939	9281
1580	15946	9269
1581	15952	9257
1582	15959	9245
1583	15966	9233
1584	15972	9220
1585	15979	9208
1586	15985	9196
1587	15991	9184
1588	15998	9172
1589	16004	9160
1590	16011	9147
1591	16018	9136
1592	16024	9124
1593	16031	9111
1594	16038	9100
1595	16044	9087
1596	16051	9075
1597	16057	9063
1598	16063	9051
1599	16069	9039
1600	16077	9027
1601	16083	9015
1602	16091	9004
1603	16098	8992
1604	16105	8980
1605	16111	8968
1606	16118	8956
1607	16125	8945
1608	16132	8933
1609	16138	8921
1610	16144	8909
1611	16152	8897
1612	16160	8886
1613	16166	8874
1614	16172	8862
1615	16179	8850
1616	16185	8838
1617	16192	8826
1618	16198	8814
1619	16207	8804
1620	16233	8802
1621	16248	8795
1622	16261	8786
1623	16272	8777
1624	16285	8768
1625	16295	8759
1626	16301	8747
1627	16308	8735
1628	16314	8723
1629	16321	8711
1630	16327	8699
1631	16333	8687
1632	16340	8675
1633	16346	8663
1634	16352	8651
1635	16359	8639
1636	16365	8627
1637	16372	8615
1638	16378	8604
1639	16385	8592
1640	16391	8580
1641	16397	8568
1642	16404	8556
1643	16410	8544
1644	16417	8533
1645	16424	8521
